SAMPLE,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,S,CL,H2O,CO2,FO,FE3FET,FEOTI,VBVOLP,DMI,DHOST,CR,SIO2err,TIO2err,AL2O3err,FEOTerr,MNOerr,MGOerr,CAOerr,NA2Oerr,K2Oerr,P2O5err,Serr,CLerr,H2Oerr,CO2err,FOerr,FE3FETerr,FEOTIerr,VBVOLPerr,DMIerr,DHOSTerr,CRerr
M-134D-9,55.27957148,0.800842286,17.46090171,7.656031514,0.138020644,1.813959676,7.228225938,4.200750255,0.941104622,0.30363039,1127.25495,1438.451206,3.825477297,299.5974732,72.82778503,0.2,,,53,411,,2.763978574,0.040042114,0.873045086,0.382801576,0.006901032,0.090697984,0.361411297,0.22037513,0.047055231,0.01518152,56.3627475,71.9225603,0.191273865,14.97987366,2,0.01,,,5.3,41.1,
M-134D-10,49.64957848,1.077344642,17.99345033,9.510152435,0.171824286,3.483259315,8.813532433,3.522542648,0.707659015,0.228785988,2077.417575,1035.806528,3.584848428,354.00156,73.3852397,0.2,,,92,611,,2.482478924,0.053867232,0.899672517,0.475507622,0.008591214,0.174162966,0.440676622,0.176127132,0.035382951,0.011439299,103.8708788,51.7903264,0.179242421,17.700078,2,0.01,,,9.2,61.1,
M-134D-14,48.66831362,0.985242423,19.28988389,8.632944754,0.141249138,3.752895518,9.741884668,3.095957938,0.61029242,0.187315685,2917.3752,1060.658854,4.33011978,518.668224,76.96615887,0.2,,,106,850,,2.433415681,0.049262121,0.964494195,0.431647238,0.007062457,0.187644776,0.487094233,0.154797897,0.030514621,0.009365784,145.86876,53.0329427,0.216505989,25.9334112,2,0.01,,,10.6,85,
M-137B-3,53.06606361,0.862477231,19.44844579,7.587160897,0.13596889,1.578359959,9.427269341,4.0133721,0.665225305,0.21768782,2918.305425,1153.302864,3.968421066,428.03388,73.69334254,0.2,,,41,346,,2.653303181,0.043123862,0.97242229,0.379358045,0.006798445,0.078917998,0.471363467,0.200668605,0.033261265,0.010884391,145.9152713,57.6651432,0.198421053,21.401694,2,0.01,,,4.1,34.6,
M-137B-5,48.83545737,1.199759635,20.17364385,8.002110807,0.119464345,2.26580347,10.00460809,3.35753451,0.611572983,0.199573701,2656.811475,1118.909744,3.692038194,438.04758,77.43190107,0.2,,,39,449,,2.441772869,0.059987982,1.008682193,0.40010554,0.005973217,0.113290174,0.500230405,0.167876726,0.030578649,0.009978685,132.8405738,55.9454872,0.18460191,21.902379,2,0.01,,,3.9,44.9,
M-137B-8A,53.24189594,0.948687874,20.3346413,6.144784078,0.127862453,1.660616456,9.491420249,4.034459282,0.735787629,0.178901091,2870.549925,1124.651568,3.84059493,786.4235124,77.14672512,0.2,,,46,474,,2.662094797,0.047434394,1.016732065,0.307239204,0.006393123,0.083030823,0.474571012,0.201722964,0.036789381,0.008945055,143.5274963,56.2325784,0.192029747,39.32117562,2,0.01,,,4.6,47.4,
M-137B-17,51.44438983,1.163503785,18.28450779,7.305286538,0.135948775,1.495506678,8.522813416,3.993567752,0.872983029,0.28805202,2554.463025,1535.605411,4.169884806,741.80799,72.09366487,0.2,,,38,598,,2.572219492,0.058175189,0.91422539,0.365264327,0.006797439,0.074775334,0.426140671,0.199678388,0.043649151,0.014402601,127.7231513,76.78027055,0.20849424,37.0903995,2,0.01,,,3.8,59.8,
134D-R-2,53.26546175,1.246332772,17.63783541,9.823040212,0.168308809,3.054384128,7.990078819,3.875072384,0.838817336,0.240249196,1733.391323,1212.486292,3.556846126,345.3654615,73.49383675,0.2,,,49,501,,2.663273088,0.062316639,0.881891771,0.491152011,0.00841544,0.152719206,0.399503941,0.193753619,0.041940867,0.01201246,86.66956615,60.6243146,0.177842306,17.26827308,2,0.01,,,4.9,50.1,
134D-R-3,57.36421952,1.074955383,18.10109434,7.667663992,0.148357309,1.689151925,7.106877958,4.588835878,1.202543245,0.438660802,1467.143382,1471.92097,3.240923166,218.1254075,72.65447772,0.2,,,38,326,,2.868210976,0.053747769,0.905054717,0.3833832,0.007417865,0.084457596,0.355343898,0.229441794,0.060127162,0.02193304,73.3571691,73.5960485,0.162046158,10.90627038,2,0.01,,,3.8,32.6,
134D-R-4,51.49089987,0.972022834,18.75665901,9.151657902,0.174959309,2.431385154,9.567665405,3.215177834,1.073808794,0.325826087,1665.699325,203.582749,3.498103172,500.1259456,74.44406886,0.2,,,45,989,,2.574544994,0.048601142,0.937832951,0.457582895,0.008747965,0.121569258,0.47838327,0.160758892,0.05369044,0.016291304,83.28496625,50.17913745,0.174905159,25.00629728,2,0.01,,,4.5,98.9,
